Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
union#R730#Abnormal glucose tolerance test,UR,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0408,85761,1677,9,0.00536672629695886,84084,206,0.00244993102135959,2.197,1.1251,4.29
union#Q43#Other congenital malformations of intestine,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0306,403844,495,4,0.00808080808080808,403349,947,0.00234784268710224,3.4617,1.2914,9.2795
union#H021#Ectropion of eyelid,UR,Chapter VII Diseases of the eye and adnexa,0.0668,196383,921,5,0.00542888165038002,195462,454,0.00232270211089624,2.3446,0.9689,5.6738
131365#Source of report of I62 other nontraumatic intracranial haemorrhage,UR,Chapter IX Diseases of the circulatory system,0.0713,304857,1175,6,0.0051063829787234,303682,740,0.00243675950500853,2.1012,0.939,4.7019
union#I26#Pulmonary embolism,UR,Chapter IX Diseases of the circulatory system,0.0924,155964,10406,33,0.00317124735729387,145558,334,0.00229461795298094,1.3833,0.9668,1.9791
130215#Source of report of B25 cytomegaloviral disease,UR,Chapter I Certain infectious and parasitic diseases,0.0171,419387,227,3,0.013215859030837,419160,988,0.00235709514266629,5.6685,1.8113,17.7396
union#Z87#Personal history of other diseases and conditions,UR,Chapter XXI Factors influencing health status and contact with health services,0.0236,196225,52738,146,0.00276840229056847,143487,315,0.00219532083045851,1.2618,1.0367,1.5357
40002#G45#Transient cerebral ischaemic attacks and related syndromes,UR,Chapter VI Diseases of the nervous system,0.0985,257387,43,1,0.0232558139534884,257344,619,0.00240534071126585,9.8748,1.3569,71.8622
41202#Block I26-I28#I26-I28 Pulmonary heart disease and diseases of pulmonary circulation,UR,Chapter IX Diseases of the circulatory system,0.0178,263233,5581,23,0.00412112524637162,257652,614,0.00238305932032354,1.7324,1.1415,2.629
41202#M1901#Primary arthrosis of other joints Shoulder region,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0827,297811,201,2,0.0099502487562189,297610,703,0.00236215180941501,4.2447,1.0521,17.1243
union#Z038#Observation for other suspected diseases and conditions,UR,Chapter XXI Factors influencing health status and contact with health services,0.0557,153329,11865,37,0.00311841550779604,141464,312,0.00220550811513883,1.4152,1.006,1.9909
union#B978#Other viral agents as the cause of diseases classified to other chapters,UR,Chapter I Certain infectious and parasitic diseases,0.0629,257296,606,4,0.0066006600660066,256690,625,0.00243484358564806,2.7223,1.0152,7.2998
41202#Block Z00-Z13#Z00-Z13 Persons encountering health services for examination and investigation,UR,Chapter XXI Factors influencing health status and contact with health services,0.0303,364044,45157,129,0.00285669995792457,318887,739,0.00231743532975631,1.2334,1.0227,1.4874
41202#M315#Giant cell arteritis with polymyalgia rheumatica,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0066,194660,53,2,0.0377358490566038,194607,441,0.00226610553577209,17.2661,4.1905,71.1418
union#K920#Haematemesis,UR,Chapter XI Diseases of the digestive system,0.0971,127307,3173,3,0.000945477466120391,124134,301,0.00242479900752413,0.3893,0.1248,1.2147
union#N28#Other disorders of kidney and ureter not elsewhere classified,UR,Chapter XIV Diseases of the genitourinary system,0.0808,218036,8862,30,0.003385240352065,209174,510,0.00243816153059176,1.3898,0.9611,2.0097
union#Q18#Other congenital malformations of face and neck,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0839,403553,204,2,0.00980392156862745,403349,947,0.00234784268710224,4.2072,1.0435,16.9627
union#Block G40-G47#G40-G47 Episodic and paroxysmal disorders,UR,Chapter VI Diseases of the nervous system,0.0525,281680,25230,47,0.00186286167261197,256450,643,0.00250731136673816,0.7425,0.552,0.9987
41202#J92#Pleural plaque,UR,Chapter X Diseases of the respiratory system,0.0307,194474,113,2,0.0176991150442478,194361,466,0.00239760034163232,7.497,1.8463,30.4417
41202#H908#Mixed conductive and sensorineural hearing loss unspecified,UR,Chapter VIII Diseases of the ear and mastoid process,0.0769,411050,34,1,0.0294117647058824,411016,965,0.00234784047336357,12.8765,1.7593,94.2432
41202#R500#R500 Fever with chills,UR,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0555,188113,152,2,0.0131578947368421,187961,466,0.00247923771420667,5.3647,1.3254,21.7134
132465#Source of report of Q18 other congenital malformations of face and neck,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0846,419387,204,2,0.00980392156862745,419183,989,0.00235935140499495,4.1866,1.0384,16.8788
union#N25#Disorders resulting from impaired renal tubular function,UR,Chapter XIV Diseases of the genitourinary system,0.0859,209373,199,2,0.0100502512562814,209174,510,0.00243816153059176,4.1538,1.0288,16.7713
union#H311#Choroidal degeneration,UR,Chapter VII Diseases of the eye and adnexa,0.0085,264671,57,2,0.0350877192982456,264614,636,0.00240350094855148,15.0931,3.6737,62.0092
union#M889#Paget disease of bone unspecified,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0406,98273,321,3,0.00934579439252336,97952,228,0.00232767069585103,4.0435,1.2876,12.6981
union#M1196#Crystal arthropathy unspecified Lower leg,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0775,87397,32,1,0.03125,87365,219,0.0025067246609054,12.8364,1.7446,94.4484
41202#E831#Disorders of iron metabolism,UR,Chapter IV Endocrine nutritional and metabolic diseases,0.0087,295305,964,7,0.00726141078838174,294341,691,0.00234761721948352,3.1084,1.4723,6.5624
union#D86#Sarcoidosis,UR,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0708,361992,1753,8,0.00456360524814604,360239,829,0.00230125000346992,1.9876,0.9891,3.9941
union#N288#Other specified disorders of kidney and ureter,UR,Chapter XIV Diseases of the genitourinary system,0.0493,210512,1338,7,0.00523168908819133,209174,510,0.00243816153059176,2.1518,1.0186,4.5454
130637#Source of report of D58 other hereditary haemolytic anaemias,UR,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0853,419387,205,2,0.00975609756097561,419182,989,0.00235935703346041,4.166,1.0334,16.795
41202#Block M05-M14#M05-M14 Inflammatory polyarthropathies,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0978,270969,5717,20,0.00349833828931258,265252,628,0.0023675599052976,1.4793,0.947,2.3106
40002#Block J40-J47#J40-J47 Chronic lower respiratory diseases,UR,Chapter X Diseases of the respiratory system,0.025,293497,2170,11,0.00506912442396313,291327,711,0.00244055648807011,2.0825,1.1463,3.7833
41202#I601#Subarachnoid haemorrhage from middle cerebral artery,UR,Chapter IX Diseases of the circulatory system,0.0369,255487,129,2,0.0155038759689922,255358,594,0.0023261460381112,6.7543,1.6671,27.3657
40001#U071#COVID-19 virus identified,UR,Chapter I Certain infectious and parasitic diseases,0.0057,289154,904,7,0.00774336283185841,288250,664,0.00230355594102342,3.3799,1.6004,7.138
131455#Source of report of J17 pneumonia in DCE,UR,Chapter X Diseases of the respiratory system,0.0378,286185,305,3,0.00983606557377049,285880,683,0.00238911431369806,4.148,1.327,12.9658
union#E039#Hypothyroidism unspecified,UR,Chapter IV Endocrine nutritional and metabolic diseases,0.079,189905,24223,71,0.00293109854270734,165682,386,0.00232976424717229,1.2589,0.977,1.622
132045#Source of report of N25 disorders resulting from impaired renal tubular function,UR,Chapter XIV Diseases of the genitourinary system,0.0811,419387,199,2,0.0100502512562814,419188,989,0.00235932326307051,4.2929,1.0646,17.3104
union#I489#Atrial fibrillation and atrial flutter unspecified,UR,Chapter IX Diseases of the circulatory system,0.069,136272,19734,59,0.00298976385932908,116538,266,0.00228251729049752,1.3108,0.9882,1.7386
41202#I97#Postprocedural disorders of circulatory system not elsewhere classified,UR,Chapter IX Diseases of the circulatory system,0.0945,322358,42,1,0.0238095238095238,322316,760,0.00235793444942231,10.3195,1.4177,75.1189
union#I51#Complications and ill-defined descriptions of heart disease,UR,Chapter IX Diseases of the circulatory system,0.0531,141721,18718,57,0.0030451971364462,123003,281,0.00228449712608636,1.334,1.003,1.7742
41202#I352#Aortic (valve) stenosis with insufficiency,UR,Chapter IX Diseases of the circulatory system,0.0604,214038,371,3,0.00808625336927224,213667,509,0.00238221157221284,3.414,1.0924,10.6697
union#B97#Viral agents as the cause of diseases classified to other chapters,UR,Chapter I Certain infectious and parasitic diseases,0.0212,252387,2957,14,0.00473452823807913,249430,601,0.00240949364551177,1.9695,1.158,3.3499
union#I351#Aortic (valve) insufficiency,UR,Chapter IX Diseases of the circulatory system,0.0746,124017,1772,8,0.00451467268623025,122245,283,0.00231502310932963,1.9545,0.9664,3.9526
41202#N459#Orchitis epididymitis and epididymo-orchitis without abscess,UR,Chapter XIV Diseases of the genitourinary system,0.0441,158307,1029,6,0.00583090379008746,157278,385,0.002447894810463,2.3901,1.0646,5.3659
41202#G544#Lumbosacral root disorders not elsewhere classified,UR,Chapter VI Diseases of the nervous system,0.0966,384097,42,1,0.0238095238095238,384055,927,0.00241371678535626,10.0805,1.3851,73.3618
union#I601#Subarachnoid haemorrhage from middle cerebral artery,UR,Chapter IX Diseases of the circulatory system,0.0388,150473,137,2,0.0145985401459854,150336,338,0.00224829714772244,6.5745,1.6209,26.6672
union#I802#Phlebitis and thrombophlebitis of other deep vessels of lower extremities,UR,Chapter IX Diseases of the circulatory system,0.0285,174558,12024,39,0.0032435129740519,162534,359,0.00220876862687192,1.47,1.0558,2.0467
union#Q394#Oesophageal web,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0984,403393,44,1,0.0227272727272727,403349,947,0.00234784268710224,9.8819,1.3594,71.8365
union#H902#Conductive hearing loss unspecified,UR,Chapter VIII Diseases of the ear and mastoid process,0.0706,165290,388,3,0.0077319587628866,164902,401,0.00243174734084487,3.1966,1.0221,9.9972
40001#C269#Malignant neoplasm: Ill-defined sites within the digestive system,UR,Chapter II Neoplasms,0.0869,217294,37,1,0.027027027027027,217257,532,0.00244871281477697,11.3161,1.5486,82.6883
union#M19#Other arthrosis,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0508,190405,74927,203,0.0027093037222897,115478,260,0.00225151111034136,1.2039,1.0017,1.4468
20002#1434#other neurological problem,UR,Chapter VI Diseases of the nervous system,0.0222,343117,5935,6,0.00101095197978096,337182,818,0.00242598952494499,0.4161,0.1863,0.9294
