Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
1072#1840#NEFL#P07196#OID20871#v1#Neurology,UR,OLINK Proteomics,0.0295602436688354,44076,103,43973,-0.178214365916001,0.0260217938832334,-0.181548529578415,0.0834320686724375,-0.345076871894912,-0.0180201872619183
1072#2667#TGOLN2#O43493#OID30691#v1#InflammationII,UR,OLINK Proteomics,0.0594841104762296,45669,107,45562,0.263812651911075,0.0357081670195125,0.177965293340068,0.0944290727988444,-0.00711719571653366,0.36304778239667
25824#Volume of grey matter in Lateral Occipital Cortex superior division (left),UR,Chapter VI Diseases of the nervous system,0.0828430745212505,36929,91,36838,-0.165673007465103,0.00635431410821623,-0.170949638142883,0.0985601601707294,-0.364130334655213,0.0222310583694473
23002#gE / gI antigen for Varicella Zoster Virus,UR,Chapter I Certain infectious and parasitic diseases,0.054522652479614,8098,17,8081,-0.214575070735526,-0.00212674104505042,-0.466864039967772,0.242786608200103,-0.942788216779894,0.00906013684434986
1072#2080#PLXDC2#Q6UX71#OID31101#v1#NeurologyII,UR,OLINK Proteomics,0.00784452056001035,45493,107,45386,0.270726445998649,0.012187280555406,0.253662790776832,0.0954047218366962,0.0666679948525048,0.440657586701159
1072#1377#IL17F#Q96PD4#OID20456#v1#Inflammation,UR,OLINK Proteomics,0.0402152592363907,44437,102,44335,0.0667742610972495,-0.00327007135991513,0.203354957181421,0.0991206034399128,0.00907685035018019,0.397633064012662
1072#686#CRTAC1#Q9NQ79#OID20279#v1#Cardiometabolic,UR,OLINK Proteomics,0.0881144364139382,45810,106,45704,0.170054787902105,0.00423702735451548,0.1561376831278,0.0915513620530275,-0.0233044323101753,0.335579798565776
1072#1737#MMP7#P09237#OID20087#v1#Cardiometabolic,UR,OLINK Proteomics,0.0322042847769498,44381,105,44276,-0.212829661606926,-0.01019577380685,-0.199359013124012,0.0930743364385816,-0.38178633774009,-0.0169316885079334
25378#Mean ICVF in cingulum cingulate gyrus on FA skeleton (right),UR,Chapter VI Diseases of the nervous system,0.0995593310618603,34970,89,34881,-0.156880085024197,-0.0028767060450188,-0.16523895171124,0.100324950135233,-0.361879047513421,0.031401144090942
1072#723#CTRL#P40313#OID31157#v1#NeurologyII,UR,OLINK Proteomics,0.0937559055451744,45493,107,45386,0.0508904075386372,-0.0342521069037011,0.1599898199367,0.095462471333331,-0.0271181659338899,0.347097805807291
